user_id,key,event_type,timestamp
purva,y,down,1761638323.6027815
purva,y,up,1761638323.7077842
purva,o,down,1761638323.7267933
purva,u,down,1761638323.8867927
purva,o,up,1761638323.8998005
purva,u,up,1761638323.9867897
purva,Key.space,down,1761638324.017792
purva,Key.space,up,1761638324.0928001
purva,l,down,1761638324.2508047
purva,l,up,1761638324.3697855
purva,o,down,1761638324.479793
purva,o,up,1761638324.5647857
purva,o,down,1761638324.641783
purva,o,up,1761638324.730788
purva,k,down,1761638324.8252966
purva,Key.space,down,1761638324.924299
purva,k,up,1761638324.9532979
purva,Key.space,up,1761638325.0125916
purva,l,down,1761638325.0645964
purva,e,down,1761638325.1715991
purva,e,up,1761638325.2435923
purva,l,up,1761638325.2575915
purva,a,down,1761638325.3565917
purva,a,up,1761638325.4825912
purva,s,down,1761638325.5655913
purva,s,up,1761638325.6625924
purva,Key.space,down,1761638326.1080773
purva,Key.space,up,1761638326.2090745
purva,h,down,1761638326.4860756
purva,e,down,1761638326.574075
purva,h,up,1761638326.6400805
purva,r,down,1761638326.7020817
purva,e,up,1761638326.7190807
purva,r,up,1761638326.8260798
purva,Key.space,down,1761638326.8820734
purva,Key.space,up,1761638326.9580753
purva,e,down,1761638327.3240778
purva,e,up,1761638327.4420757
purva,v,down,1761638327.540079
purva,v,up,1761638327.6200778
purva,e,down,1761638327.7040756
purva,e,up,1761638327.8110733
purva,n,down,1761638327.8360808
purva,Key.space,down,1761638327.9690824
purva,n,up,1761638327.9970813
purva,Key.space,up,1761638328.0640757
purva,h,down,1761638328.870073
purva,h,up,1761638328.9710808
purva,o,down,1761638329.100073
purva,o,up,1761638329.2440724
purva,m,down,1761638329.2850728
purva,e,down,1761638329.391764
purva,m,up,1761638329.4677663
purva,e,up,1761638329.5268762
purva,Key.space,down,1761638329.5337684
purva,Key.space,up,1761638329.6168888
purva,i,down,1761638329.6580975
purva,i,up,1761638329.8221211
purva,f,down,1761638329.826114
purva,f,up,1761638329.9154003
purva,Key.space,down,1761638330.049973
purva,Key.space,up,1761638330.144055
purva,w,down,1761638330.3003154
purva,w,up,1761638330.3623128
purva,Key.backspace,down,1761638330.652247
purva,Key.backspace,up,1761638330.7840147
purva,l,down,1761638330.9028432
purva,l,up,1761638331.0409982
purva,i,down,1761638331.1383343
purva,i,up,1761638331.2368069
purva,k,down,1761638331.3284154
purva,e,down,1761638331.4083095
purva,k,up,1761638331.5126085
purva,e,up,1761638331.5487344
purva,Key.space,down,1761638331.5506108
purva,Key.space,up,1761638331.6341965
purva,d,down,1761638331.7438202
purva,d,up,1761638331.853289
purva,a,down,1761638331.9043398
purva,a,up,1761638332.039679
purva,y,down,1761638332.109681
purva,y,up,1761638332.198875
purva,Key.space,down,1761638332.377164
purva,Key.space,up,1761638332.4765253
purva,h,down,1761638332.6837938
purva,h,up,1761638332.8107243
purva,o,down,1761638332.91657
purva,w,down,1761638333.0242963
purva,w,up,1761638333.0922985
purva,o,up,1761638333.0984197
purva,e,down,1761638333.5850573
purva,e,up,1761638333.674836
purva,n,down,1761638333.7191365
purva,n,up,1761638333.8674319
purva,Key.backspace,down,1761638334.1622756
purva,Key.backspace,up,1761638334.3404818
purva,v,down,1761638334.342475
purva,v,up,1761638334.4054754
purva,e,down,1761638334.5036948
purva,r,down,1761638334.6330938
purva,e,up,1761638334.6600943
purva,r,up,1761638334.7750978
purva,Key.space,down,1761638334.7791004
purva,Key.space,up,1761638334.840094
purva,t,down,1761638335.0720987
purva,t,up,1761638335.1390946
purva,h,down,1761638335.1870959
purva,h,up,1761638335.2900953
purva,i,down,1761638335.6400993
purva,i,up,1761638335.7637022
purva,n,down,1761638335.854715
purva,g,down,1761638335.9917223
purva,n,up,1761638336.020709
purva,g,up,1761638336.114918
purva,Key.space,down,1761638336.150862
purva,Key.space,up,1761638336.235421
purva,c,down,1761638336.3704424
purva,c,up,1761638336.4597423
purva,h,down,1761638336.5047448
purva,h,up,1761638336.5890326
purva,i,down,1761638336.7491486
purva,i,up,1761638336.849774
purva,l,down,1761638336.9717727
purva,d,down,1761638337.1057158
purva,l,up,1761638337.1928992
purva,d,up,1761638337.226893
purva,Key.space,down,1761638337.3074076
purva,Key.space,up,1761638337.3916028
purva,o,down,1761638337.8034444
purva,o,up,1761638337.9673963
purva,w,down,1761638337.9863582
purva,w,up,1761638338.0586047
purva,n,down,1761638338.1257496
purva,n,up,1761638338.2717943
purva,Key.space,down,1761638338.3367913
purva,Key.space,up,1761638338.4214325
purva,f,down,1761638338.6964848
purva,f,up,1761638338.770427
purva,o,down,1761638338.8264298
purva,r,down,1761638338.9204867
purva,r,up,1761638338.9834247
purva,o,up,1761638338.9864376
purva,m,down,1761638339.1249952
purva,Key.space,down,1761638339.2583466
purva,m,up,1761638339.2787387
purva,Key.space,up,1761638339.3327467
purva,m,down,1761638339.5327926
purva,m,up,1761638339.6598005
purva,u,down,1761638339.8392642
purva,s,down,1761638339.9345162
purva,u,up,1761638339.971572
purva,s,up,1761638340.0405495
purva,t,down,1761638340.1251023
