user_id,key,event_type,timestamp
siddhant,b,down,1754378121.359264
siddhant,b,up,1754378121.4389281
siddhant,e,down,1754378121.4921668
siddhant,e,up,1754378121.6320252
siddhant,g,down,1754378121.7574804
siddhant,g,up,1754378121.8533776
siddhant,i,down,1754378121.918381
siddhant,i,up,1754378122.0002291
siddhant,n,down,1754378122.147077
siddhant,n,up,1754378122.2339282
siddhant,Key.space,down,1754378122.5318954
siddhant,Key.space,up,1754378122.6821609
siddhant,a,down,1754378123.0697818
siddhant,a,up,1754378123.1835725
siddhant,s,down,1754378123.2653701
siddhant,s,up,1754378123.3801336
siddhant,Key.space,down,1754378123.3846085
siddhant,Key.space,up,1754378123.5037365
siddhant,c,down,1754378123.5391521
siddhant,c,up,1754378123.6504326
siddhant,o,down,1754378123.6554747
siddhant,o,up,1754378123.7484815
siddhant,n,down,1754378123.9339237
siddhant,n,up,1754378123.9866066
siddhant,s,down,1754378124.051881
siddhant,s,up,1754378124.180732
siddhant,d,down,1754378124.228146
siddhant,d,up,1754378124.3957047
siddhant,i,down,1754378124.9085526
siddhant,i,up,1754378124.9964204
siddhant,e,down,1754378125.0033317
siddhant,r,down,1754378125.150731
siddhant,e,up,1754378125.2296078
siddhant,r,up,1754378125.3133712
siddhant,Key.space,down,1754378125.3218076
siddhant,Key.space,up,1754378125.4260461
siddhant,o,down,1754378126.046047
siddhant,o,up,1754378126.1212823
siddhant,w,down,1754378126.3302412
siddhant,w,up,1754378126.424437
siddhant,n,down,1754378126.5972154
siddhant,n,up,1754378126.6917207
siddhant,Key.space,down,1754378126.6944203
siddhant,Key.space,up,1754378126.8242207
siddhant,a,down,1754378126.882729
siddhant,a,up,1754378126.9729996
siddhant,g,down,1754378127.034143
siddhant,a,down,1754378127.0835466
siddhant,g,up,1754378127.1166656
siddhant,a,up,1754378127.2004952
siddhant,i,down,1754378127.246976
siddhant,i,up,1754378127.3708527
siddhant,n,down,1754378127.5673409
siddhant,n,up,1754378127.6519244
siddhant,Key.space,down,1754378127.6632035
siddhant,Key.space,up,1754378127.7848082
siddhant,s,down,1754378128.096318
siddhant,s,up,1754378128.2169933
siddhant,h,down,1754378128.3643978
siddhant,h,up,1754378128.4243202
siddhant,o,down,1754378128.5802827
siddhant,w,down,1754378128.6312346
siddhant,o,up,1754378128.68307
siddhant,w,up,1754378128.7337847
siddhant,Key.space,down,1754378128.741733
siddhant,Key.space,up,1754378128.8555095
siddhant,f,down,1754378129.1389496
siddhant,f,up,1754378129.23037
siddhant,o,down,1754378129.2553997
siddhant,o,up,1754378129.321485
siddhant,l,down,1754378129.441986
siddhant,l,up,1754378129.491068
siddhant,l,down,1754378129.5661342
siddhant,l,up,1754378129.62596
siddhant,o,down,1754378129.738111
siddhant,w,down,1754378129.8244073
siddhant,o,up,1754378129.8404696
siddhant,Key.space,down,1754378129.8923604
siddhant,w,up,1754378129.9345183
siddhant,Key.space,up,1754378130.0024273
siddhant,t,down,1754378130.5001535
siddhant,t,up,1754378130.6066
siddhant,h,down,1754378130.6706967
siddhant,h,up,1754378130.7511635
siddhant,e,down,1754378130.7825022
siddhant,y,down,1754378130.853834
siddhant,e,up,1754378130.8882875
siddhant,y,up,1754378131.0010352
siddhant,Key.space,down,1754378131.086241
siddhant,Key.space,up,1754378131.206272
siddhant,n,down,1754378131.5956118
siddhant,n,up,1754378131.6472034
siddhant,i,down,1754378131.8109138
siddhant,i,up,1754378131.8940675
siddhant,u,down,1754378132.358499
siddhant,u,up,1754378132.4323666
siddhant,m,down,1754378132.6672688
siddhant,m,up,1754378132.7364128
siddhant,b,down,1754378132.9752665
siddhant,b,up,1754378133.026877
siddhant,e,down,1754378133.3063433
siddhant,r,down,1754378133.3910267
siddhant,e,up,1754378133.50433
siddhant,Key.space,down,1754378133.5649383
siddhant,r,up,1754378133.5930514
siddhant,Key.space,up,1754378133.6881096
siddhant,f,down,1754378134.2820427
siddhant,f,up,1754378134.40031
siddhant,o,down,1754378134.425514
siddhant,o,up,1754378134.518913
siddhant,l,down,1754378134.6367986
siddhant,l,up,1754378134.6981084
siddhant,l,down,1754378134.761062
siddhant,l,up,1754378134.8304868
siddhant,Key.esc,down,1754378139.5505893
siddhant,Key.esc,up,1754378139.673472
siddhant,p,down,1761840220.6744437
siddhant,r,down,1761840220.7030423
siddhant,p,up,1761840220.740715
siddhant,r,up,1761840220.8479173
siddhant,s,down,1761840220.9982333
siddhant,s,up,1761840221.0117059
siddhant,s,down,1761840221.1052125
siddhant,s,up,1761840221.1651628
siddhant,e,down,1761840222.48258
siddhant,e,up,1761840222.5821922
siddhant,n,down,1761840222.819836
siddhant,t,down,1761840222.886464
siddhant,n,up,1761840222.9105916
siddhant,Key.space,down,1761840222.9238448
siddhant,t,up,1761840223.004157
siddhant,Key.space,up,1761840223.0474298
siddhant,m,down,1761840223.32832
siddhant,m,up,1761840223.433451
siddhant,e,down,1761840223.4671586
siddhant,e,up,1761840223.5606296
siddhant,a,down,1761840223.750276
siddhant,a,up,1761840223.8752036
siddhant,n,down,1761840224.0741882
siddhant,n,up,1761840224.1650064
siddhant,Key.space,down,1761840224.1678534
siddhant,Key.space,up,1761840224.2707932
siddhant,p,down,1761840224.368201
siddhant,p,up,1761840224.4463844
siddhant,l,down,1761840224.5519528
siddhant,l,up,1761840224.6413898
siddhant,a,down,1761840224.6715338
siddhant,a,up,1761840224.7732806
siddhant,c,down,1761840224.9856782
siddhant,c,up,1761840225.071559
siddhant,e,down,1761840225.1332698
siddhant,Key.space,down,1761840225.2488801
siddhant,e,up,1761840225.2686126
siddhant,Key.space,up,1761840225.3464427
siddhant,t,down,1761840225.5692983
siddhant,t,up,1761840225.6456838
siddhant,a,down,1761840225.678208
siddhant,a,up,1761840225.78334
siddhant,k,down,1761840225.947298
siddhant,k,up,1761840226.0409312
siddhant,e,down,1761840226.0433948
siddhant,Key.space,down,1761840226.0905795
siddhant,e,up,1761840226.1158147
siddhant,Key.space,up,1761840226.1669364
siddhant,Key.space,down,1761840226.2278864
siddhant,Key.space,up,1761840226.331348
siddhant,=,down,1761840226.712174
siddhant,=,up,1761840226.7513878
siddhant,e,down,1761840226.8905063
siddhant,e,up,1761840226.932937
siddhant,Key.backspace,down,1761840227.222625
siddhant,Key.backspace,up,1761840227.3031588
siddhant,Key.backspace,down,1761840227.412879
siddhant,Key.backspace,up,1761840227.465764
siddhant,e,down,1761840227.6417024
siddhant,e,up,1761840227.734013
siddhant,n,down,1761840227.9260983
siddhant,d,down,1761840227.979754
siddhant,n,up,1761840228.0020678
siddhant,Key.space,down,1761840228.0240178
siddhant,d,up,1761840228.1140938
siddhant,Key.space,up,1761840228.1452785
siddhant,m,down,1761840228.219557
siddhant,e,down,1761840228.3092275
siddhant,m,up,1761840228.3210127
siddhant,e,up,1761840228.4079444
siddhant,a,down,1761840228.4836826
siddhant,a,up,1761840228.5698066
siddhant,n,down,1761840228.5990007
siddhant,n,up,1761840228.704089
siddhant,Key.space,down,1761840228.720953
siddhant,Key.space,up,1761840228.8506763
siddhant,t,down,1761840229.3545988
siddhant,t,up,1761840229.4556453
siddhant,h,down,1761840229.545346
siddhant,e,down,1761840229.603484
siddhant,h,up,1761840229.6239424
siddhant,e,up,1761840229.6864214
siddhant,s,down,1761840229.800086
siddhant,s,up,1761840229.8629308
siddhant,e,down,1761840229.978528
siddhant,e,up,1761840230.08583
siddhant,Key.space,down,1761840230.0999122
siddhant,Key.space,up,1761840230.2218523
siddhant,m,down,1761840230.3696127
siddhant,m,up,1761840230.4645123
siddhant,o,down,1761840230.587906
siddhant,r,down,1761840230.6618292
siddhant,o,up,1761840230.7072291
siddhant,e,down,1761840230.7687435
siddhant,r,up,1761840230.8202324
siddhant,Key.space,down,1761840230.8586068
siddhant,e,up,1761840230.8992422
siddhant,Key.space,up,1761840230.922417
siddhant,n,down,1761840231.324712
siddhant,n,up,1761840231.3963492
siddhant,e,down,1761840231.4596329
siddhant,e,up,1761840231.549131
siddhant,v,down,1761840231.5971904
siddhant,v,up,1761840231.7000904
siddhant,r,down,1761840231.8098657
siddhant,r,up,1761840231.9207494
siddhant,Key.space,down,1761840232.0398507
siddhant,Key.space,up,1761840232.1645901
siddhant,m,down,1761840232.3518853
siddhant,m,up,1761840232.42117
siddhant,a,down,1761840232.4462025
siddhant,a,up,1761840232.557876
siddhant,n,down,1761840232.6321836
siddhant,n,up,1761840232.7372427
siddhant,Key.space,down,1761840232.7573116
siddhant,Key.space,up,1761840232.8696663
siddhant,w,down,1761840233.2773879
siddhant,w,up,1761840233.3719013
siddhant,o,down,1761840233.513821
siddhant,r,down,1761840233.5994453
siddhant,o,up,1761840233.6110308
siddhant,r,up,1761840233.672172
siddhant,d,down,1761840233.7588844
siddhant,d,up,1761840233.8588703
siddhant,Key.space,down,1761840233.8627264
siddhant,Key.space,up,1761840233.974107
siddhant,t,down,1761840234.0693336
siddhant,t,up,1761840234.170886
siddhant,h,down,1761840234.1790044
siddhant,h,up,1761840234.2364154
siddhant,i,down,1761840234.3266504
siddhant,i,up,1761840234.426432
siddhant,n,down,1761840234.6028068
siddhant,g,down,1761840234.6963665
siddhant,n,up,1761840234.7194886
siddhant,Key.space,down,1761840234.7667027
siddhant,g,up,1761840234.8005376
siddhant,Key.space,up,1761840234.8872962
siddhant,d,down,1761840235.4453504
siddhant,d,up,1761840235.5508027
siddhant,o,down,1761840235.6198592
siddhant,o,up,1761840235.6845996
siddhant,Key.space,down,1761840235.6956725
siddhant,Key.space,up,1761840235.8156447
siddhant,b,down,1761840236.0908084
siddhant,b,up,1761840236.1515698
siddhant,u,down,1761840236.3510628
siddhant,u,up,1761840236.435415
siddhant,Key.space,down,1761840236.4628618
siddhant,Key.space,up,1761840236.5811062
siddhant,s,down,1761840236.6259215
siddhant,s,up,1761840236.6971865
siddhant,y,down,1761840236.759918
siddhant,s,down,1761840236.8413506
siddhant,y,up,1761840236.8573067
siddhant,s,up,1761840236.9301288
siddhant,t,down,1761840237.0075314
siddhant,t,up,1761840237.0822592
siddhant,e,down,1761840237.1801565
siddhant,e,up,1761840237.291478
siddhant,m,down,1761840237.372121
siddhant,m,up,1761840237.4911983
siddhant,Key.space,down,1761840237.7332096
siddhant,Key.space,up,1761840237.8714223
siddhant,t,down,1761840237.9886167
siddhant,t,up,1761840238.0756536
siddhant,h,down,1761840238.1216094
siddhant,h,up,1761840238.202865
siddhant,e,down,1761840238.2049391
siddhant,r,down,1761840238.3150067
siddhant,e,up,1761840238.3418338
siddhant,r,up,1761840238.46208
siddhant,e,down,1761840238.463243
siddhant,Key.space,down,1761840238.5597677
siddhant,e,up,1761840238.5823364
siddhant,Key.space,up,1761840238.6696694
siddhant,a,down,1761840238.7295823
siddhant,a,up,1761840238.8353603
siddhant,l,down,1761840239.009113
siddhant,l,up,1761840239.088115
siddhant,s,down,1761840239.1827333
siddhant,s,up,1761840239.2981074
siddhant,o,down,1761840239.3742807
siddhant,o,up,1761840239.461071
siddhant,Key.space,down,1761840239.463357
siddhant,Key.space,up,1761840239.6044147
siddhant,m,down,1761840239.7103767
siddhant,m,up,1761840239.8006418
siddhant,u,down,1761840240.0443203
siddhant,u,up,1761840240.1452215
siddhant,s,down,1761840240.1704137
siddhant,s,up,1761840240.2583401
siddhant,t,down,1761840240.3364608
siddhant,t,up,1761840240.4381754
siddhant,Key.space,down,1761840240.468479
siddhant,Key.space,up,1761840240.595156
siddhant,p,down,1761840241.125212
siddhant,p,up,1761840241.2227535
siddhant,r,down,1761840241.3043263
siddhant,r,up,1761840241.4367168
siddhant,o,down,1761840241.4380744
siddhant,o,up,1761840241.5195694
siddhant,b,down,1761840241.7014022
siddhant,b,up,1761840241.7691066
siddhant,l,down,1761840241.959511
siddhant,l,up,1761840242.0487993
siddhant,e,down,1761840242.051773
siddhant,e,up,1761840242.161727
siddhant,m,down,1761840242.186926
siddhant,m,up,1761840242.2977674
siddhant,Key.space,down,1761840242.342659
siddhant,Key.space,up,1761840242.453609
siddhant,w,down,1761840242.621273
siddhant,w,up,1761840242.6635315
siddhant,],down,1761840243.0265992
siddhant,],up,1761840243.0900493
siddhant,c,down,1761840243.2192786
siddhant,a,down,1761840243.382355
siddhant,c,up,1761840243.406119
siddhant,a,up,1761840243.49283
siddhant,n,down,1761840243.7258215
siddhant,n,up,1761840243.8023083
siddhant,Key.space,down,1761840243.8258495
siddhant,Key.space,up,1761840243.9745808
siddhant,l,down,1761840244.0236337
siddhant,l,up,1761840244.1112883
siddhant,i,down,1761840244.2012403
siddhant,i,up,1761840244.2813516
siddhant,k,down,1761840244.3942244
siddhant,e,down,1761840244.4574418
siddhant,k,up,1761840244.5112777
siddhant,Key.space,down,1761840244.5137093
siddhant,e,up,1761840244.5843186
siddhant,Key.space,up,1761840244.6634762
siddhant,a,down,1761840245.155368
siddhant,a,up,1761840245.2595646
siddhant,r,down,1761840245.367313
siddhant,r,up,1761840245.4879243
siddhant,o,down,1761840245.4893458
siddhant,o,up,1761840245.614255
siddhant,u,down,1761840245.703219
siddhant,u,up,1761840245.7988195
siddhant,n,down,1761840246.056293
siddhant,n,up,1761840246.1604846
siddhant,f,down,1761840246.3906965
siddhant,f,up,1761840246.4960265
siddhant,f,down,1761840246.5867784
siddhant,f,up,1761840246.6637483
siddhant,Key.space,down,1761840246.8670244
siddhant,Key.space,up,1761840246.9899912
siddhant,a,down,1761840246.998814
siddhant,a,up,1761840247.113282
siddhant,Key.space,down,1761840247.1255693
siddhant,Key.space,up,1761840247.243456
siddhant,t,down,1761840247.457481
siddhant,t,up,1761840247.5577285
siddhant,h,down,1761840247.7019365
siddhant,h,up,1761840247.7875016
siddhant,r,down,1761840247.874031
siddhant,r,up,1761840247.9580681
siddhant,o,down,1761840247.998563
siddhant,o,up,1761840248.1086378
siddhant,u,down,1761840248.2257495
siddhant,u,up,1761840248.3031752
siddhant,g,down,1761840248.4480023
siddhant,h,down,1761840248.5291393
siddhant,g,up,1761840248.5522811
siddhant,h,up,1761840248.6954195
siddhant,Key.space,down,1761840248.7086053
siddhant,Key.space,up,1761840248.844161
siddhant,s,down,1761840250.2651877
siddhant,s,up,1761840250.3657477
siddhant,c,down,1761840250.5331376
siddhant,c,up,1761840250.619075
